MODEL,DESCRIPTOR,MEDIA,DETACHMENT MEDIA,ATTACHMENT,SPECIFIC NOTES,DIAGNOSIS/REPLASE,PHASE,PRIOR TREATMENT(S),SOURCE OF CULTURE,1p,3p,11q,17q,ALK STATUS,MYCN STATUS,P53 STATUS,1:2,1:3 ,1:4 ,1:5,1:6,1:7,1:8,1:9,1:10,1:20,NOTES,RACK LOCATION:,LOCATION: BOX,LOCATION: ROW,LOCATION: POSITION,PASSAGE #,FREEZE DATE,INITIALS,LINEAGE,MYCO DATE,STR DATE,STR RESULT,AMELOGENIN (ALLELE 1),AMELOGENIN (ALLELE 2),D3S1358 (ALLELE 1),D3S1358 (ALLELE 2),,D1S1656 (ALLELE 1),D1S1656 (ALLELE 2),,D2S441 (ALLELE 1),D2S441 (ALLELE 2),D10S1248 (ALLELE 1),D10S1248 (ALLELE 2),,D13S317 (ALLELE 1),D13S317 (ALLELE 2),D13S317 (ALLELE 2),PENTA E (ALLELE 1),PENTA E (ALLELE 2),PENTA E (ALLELE 3),D16S539 (ALLELE 1),D16S539 (ALLELE 2),D18S51 (ALLELE 1),D18S51 (ALLELE 2),,D2S1338 (ALLELE 1),D2S1338 (ALLELE 2),D2S1338 (ALLELE 3),CSF1PO (ALLELE 1),CSF1PO (ALLELE 2),,PENTA D (ALLELE 1),PENTA D (ALLELE 2),PENTA D (ALLELE 3),TH01 (ALLELE 1),TH01 (ALLELE 2),vWA (ALLELE 1),vWA (ALLELE 2),vWA (ALLELE 3),D21S11 (ALLELE 1),D21S11 (ALLELE 2),,D7S820 (ALLELE 1),D7S820 (ALLELE 2),D5S818 (ALLELE 1),D5S818 (ALLELE 2),TPOX (ALLELE 1),TPOX (ALLELE 2),,DYS391 (ALLELE 1),D8S1179 (ALLELE 1),D8S1179 (ALLELE 2),D8S1179 (ALLELE 3),D12S391 (ALLELE 1),D12S391 (ALLELE 2),,D19S433 (ALLELE 1),D19S433 (ALLELE 2),,FGA (ALLELE 1),FGA (ALLELE 2),,D22S1045 (ALLELE 1),D22S1045 (ALLELE 2),,,Lab 
CHP-134,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2 mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Progressing,"Cisplatin, carboplatin, cyclophosphamide, doxorubicin, etoposide, melphalan, and total body irradiation. Sample was collected after bone marrow transplant.",Bone Marrow,LOH p32.3-pterm; Gain p34.3-p36.22; Loss p36.22-pterm,GaiNAl p26.3,None,Gain q12-qterm,WT,Amplified,WT,NA,1,NA,1,NA,NA,2,NA,3,NA,,7,1,2,10,7,09/19/2017,JLH,,,08/22/2018,Good,X,Y,16,,,11,,,11.3,,14,,,8,11,,5,7,,11,13,15,18,,20,27,,9,13,,9,,,9,9.3,18,19,,28,29,,9,,11,12,8,,,10,8,14,,17,18,,12,13,,21,25,,15,18,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
IMR-05,Cell Bank,"RPMI 1640 w/ 10 % FBS, 1% of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No treatment was given to the patient prior to sample collection ,Solid Tumor Same patient as IMR-32 Subclone of IMR-3,Gain + LOH p32.3-pter,GaiNAl p24.3-26.3,Loss q22.1-qter,Gain q21.2-qter,WT,Amplified,WT,NA,NA,NA,1-2,NA,NA,NA,NA,3,4,,7,1,3,1,,01/27/2016,LSH,,07/28/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
IMR-05,Cell Bank,"RPMI 1640 w/ 10 % FBS, 1% of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No treatment was given to the patient prior to sample collection ,Solid Tumor Same patient as IMR-32 Subclone of IMR-3,Gain + LOH p32.3-pter,GaiNAl p24.3-26.3,Loss q22.1-qter,Gain q21.2-qter,WT,Amplified,WT,NA,NA,NA,1-2,NA,NA,NA,NA,3,4,,7,1,3,3,4,03/27/2017,LS,,03/31/2017,08/22/2018,Good (Drop out of 7 at PENTA E; STR of subsequent freeze is good (KLC P7 10/31/17)),X,Y,16,,,17,17.3,,10,11,13,14,,9,,,7 (DO),15,,8,,12,15,,23,24,,11,12,,11,12,,7,9.3,15,,,30,31,,9,10,11,12,11,,,11,13,,,19.3,23,,14,15,,21,24,,16,19,,,Maris
IMR-05,Cell Bank,"RPMI 1640 w/ 10 % FBS, 1% of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No treatment was given to the patient prior to sample collection ,Solid Tumor Same patient as IMR-32 Subclone of IMR-3,Gain + LOH p32.3-pter,GaiNAl p24.3-26.3,Loss q22.1-qter,Gain q21.2-qter,WT,Amplified,WT,NA,NA,NA,1-2,NA,NA,NA,NA,3,4,,7,1,3,4,5,03/27/2017,LS,,03/31/2017,08/22/2018,Good (Drop out of 7 at PENTA E; STR of subsequent freeze is good (KLC P7 10/31/17)),X,Y,16,,,17,17.3,,10,11,13,14,,9,,,7 (DO),15,,8,,12,15,,23,24,,11,12,,11,12,,7,9.3,15,,,30,31,,9,10,11,12,11,,,11,13,,,19.3,23,,14,15,,21,24,,16,19,,,Maris
IMR-05,Cell Bank,"RPMI 1640 w/ 10 % FBS, 1% of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No treatment was given to the patient prior to sample collection ,Solid Tumor Same patient as IMR-32 Subclone of IMR-3,Gain + LOH p32.3-pter,GaiNAl p24.3-26.3,Loss q22.1-qter,Gain q21.2-qter,WT,Amplified,WT,NA,NA,NA,1-2,NA,NA,NA,NA,3,4,,7,1,3,5,6,12/09/2019,KU,"From LS, P5, 03/27/2017 (STR from thaw is good)",12/10/2019,08/22/2018,Good (Drop out of 7 at PENTA E; STR of subsequent freeze is good (KLC P7 10/31/17)),X,Y,16,,,17,17.3,,10,11,13,14,,9,,,7 (DO),15,,8,,12,15,,23,24,,11,12,,11,12,,7,9.3,15,,,30,31,,9,10,11,12,11,,,11,13,,,19.3,23,,14,15,,21,24,,16,19,,,Maris
IMR-05,Cell Bank,"RPMI 1640 w/ 10 % FBS, 1% of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No treatment was given to the patient prior to sample collection ,Solid Tumor Same patient as IMR-32 Subclone of IMR-3,Gain + LOH p32.3-pter,GaiNAl p24.3-26.3,Loss q22.1-qter,Gain q21.2-qter,WT,Amplified,WT,NA,NA,NA,1-2,NA,NA,NA,NA,3,4,,7,1,3,6,6,12/09/2019,KU,"From LS, P5, 03/27/2017 (STR from thaw is good)",12/10/2019,08/22/2018,Good (Drop out of 7 at PENTA E; STR of subsequent freeze is good (KLC P7 10/31/17)),X,Y,16,,,17,17.3,,10,11,13,14,,9,,,7 (DO),15,,8,,12,15,,23,24,,11,12,,11,12,,7,9.3,15,,,30,31,,9,10,11,12,11,,,11,13,,,19.3,23,,14,15,,21,24,,16,19,,,Maris
IMR-05,Cell Bank,"RPMI 1640 w/ 10 % FBS, 1% of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No treatment was given to the patient prior to sample collection ,Solid Tumor Same patient as IMR-32 Subclone of IMR-3,Gain + LOH p32.3-pter,GaiNAl p24.3-26.3,Loss q22.1-qter,Gain q21.2-qter,WT,Amplified,WT,NA,NA,NA,1-2,NA,NA,NA,NA,3,4,,7,1,3,7,6,12/09/2019,KU,"From LS, P5, 03/27/2017 (STR from thaw is good)",12/10/2019,08/22/2018,Good (Drop out of 7 at PENTA E; STR of subsequent freeze is good (KLC P7 10/31/17)),X,Y,16,,,17,17.3,,10,11,13,14,,9,,,7 (DO),15,,8,,12,15,,23,24,,11,12,,11,12,,7,9.3,15,,,30,31,,9,10,11,12,11,,,11,13,,,19.3,23,,14,15,,21,24,,16,19,,,Maris
IMR-05,Cell Bank,"RPMI 1640 w/ 10 % FBS, 1% of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No treatment was given to the patient prior to sample collection ,Solid Tumor Same patient as IMR-32 Subclone of IMR-3,Gain + LOH p32.3-pter,GaiNAl p24.3-26.3,Loss q22.1-qter,Gain q21.2-qter,WT,Amplified,WT,NA,NA,NA,1-2,NA,NA,NA,NA,3,4,,7,1,3,8,6,12/09/2019,KU,"From LS, P5, 03/27/2017 (STR from thaw is good)",12/10/2019,08/22/2018,Good (Drop out of 7 at PENTA E; STR of subsequent freeze is good (KLC P7 10/31/17)),X,Y,16,,,17,17.3,,10,11,13,14,,9,,,7 (DO),15,,8,,12,15,,23,24,,11,12,,11,12,,7,9.3,15,,,30,31,,9,10,11,12,11,,,11,13,,,19.3,23,,14,15,,21,24,,16,19,,,Maris
IMR-05,Cell Bank,"RPMI 1640 w/ 10 % FBS, 1% of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No treatment was given to the patient prior to sample collection ,Solid Tumor Same patient as IMR-32 Subclone of IMR-3,Gain + LOH p32.3-pter,GaiNAl p24.3-26.3,Loss q22.1-qter,Gain q21.2-qter,WT,Amplified,WT,NA,NA,NA,1-2,NA,NA,NA,NA,3,4,,7,1,3,9,6,12/09/2019,KU,"From LS, P5, 03/27/2017 (STR from thaw is good)",12/10/2019,08/22/2018,Good (Drop out of 7 at PENTA E; STR of subsequent freeze is good (KLC P7 10/31/17)),X,Y,16,,,17,17.3,,10,11,13,14,,9,,,7 (DO),15,,8,,12,15,,23,24,,11,12,,11,12,,7,9.3,15,,,30,31,,9,10,11,12,11,,,11,13,,,19.3,23,,14,15,,21,24,,16,19,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
KELLY,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Unknown,Unknown,Unknown,LOH p21.3-pter; Loss p36.32; Gain p36.33,Loss p26.2,Loss q23.3-qter,Gain q21.2-qter,F1174L,Amplified,P177T,NA,3,NA,4,NA,NA,NA,NA,5,NA,,7,1,5,1,4,02/06/2015,LSH,,11/06/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
KELLY,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Unknown,Unknown,Unknown,LOH p21.3-pter; Loss p36.32; Gain p36.33,Loss p26.2,Loss q23.3-qter,Gain q21.2-qter,F1174L,Amplified,P177T,NA,3,NA,4,NA,NA,NA,NA,5,NA,,7,1,5,2,11,11/3/16,JLH,,,3/3/20,Good,X,,14,16,,11,13,,10,14,13,14,,10,14,,12,16,,12,13,14,17,,17,20,,12,,,9,14,,9.3,,16,18,,28,30,,9,,11,13,8,10,,-,14,,,19,20,,12,15.2,,20,21,,16,,,,Maris
KELLY,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Unknown,Unknown,Unknown,LOH p21.3-pter; Loss p36.32; Gain p36.33,Loss p26.2,Loss q23.3-qter,Gain q21.2-qter,F1174L,Amplified,P177T,NA,3,NA,4,NA,NA,NA,NA,5,NA,,7,1,5,3,11,11/3/16,JLH,,,3/3/20,Good,X,,14,16,,11,13,,10,14,13,14,,10,14,,12,16,,12,13,14,17,,17,20,,12,,,9,14,,9.3,,16,18,,28,30,,9,,11,13,8,10,,-,14,,,19,20,,12,15.2,,20,21,,16,,,,Maris
KELLY,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Unknown,Unknown,Unknown,LOH p21.3-pter; Loss p36.32; Gain p36.33,Loss p26.2,Loss q23.3-qter,Gain q21.2-qter,F1174L,Amplified,P177T,NA,3,NA,4,NA,NA,NA,NA,5,NA,,7,1,5,4,12,02/19/2020,KU,"From JLH, P11, 11/03/2016",02/07/2020,3/3/20,Good,X,,14,16,,11,13,,10,14,13,14,,10,14,,12,16,,12,13,14,17,,17,20,,12,,,9,14,,9.3,,16,18,,28,30,,9,,11,13,8,10,,-,14,,,19,20,,12,15.2,,20,21,,16,,,,Maris
KELLY,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Unknown,Unknown,Unknown,LOH p21.3-pter; Loss p36.32; Gain p36.33,Loss p26.2,Loss q23.3-qter,Gain q21.2-qter,F1174L,Amplified,P177T,NA,3,NA,4,NA,NA,NA,NA,5,NA,,7,1,5,5,12,02/19/2020,KU,"From JLH, P11, 11/03/2016",02/07/2020,3/3/20,Good,X,,14,16,,11,13,,10,14,13,14,,10,14,,12,16,,12,13,14,17,,17,20,,12,,,9,14,,9.3,,16,18,,28,30,,9,,11,13,8,10,,-,14,,,19,20,,12,15.2,,20,21,,16,,,,Maris
KELLY,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Unknown,Unknown,Unknown,LOH p21.3-pter; Loss p36.32; Gain p36.33,Loss p26.2,Loss q23.3-qter,Gain q21.2-qter,F1174L,Amplified,P177T,NA,3,NA,4,NA,NA,NA,NA,5,NA,,7,1,5,6,12,02/19/2020,KU,"From JLH, P11, 11/03/2016",02/07/2020,3/3/20,Good,X,,14,16,,11,13,,10,14,13,14,,10,14,,12,16,,12,13,14,17,,17,20,,12,,,9,14,,9.3,,16,18,,28,30,,9,,11,13,8,10,,-,14,,,19,20,,12,15.2,,20,21,,16,,,,Maris
KELLY,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Unknown,Unknown,Unknown,LOH p21.3-pter; Loss p36.32; Gain p36.33,Loss p26.2,Loss q23.3-qter,Gain q21.2-qter,F1174L,Amplified,P177T,NA,3,NA,4,NA,NA,NA,NA,5,NA,,7,1,5,7,3,6/9/2017,KLC,ATCC stock bought june 2015,6/9/2017,10/19/2018,Good,X,,14,16,,11,13,,10,14,13,14,,10,14,,12,16,,12,13,14,17,,17,20,,12,,,9,14,,9.3,,16,18,,28,30,,9,,11,13,8,10,,-,14,,,19,20,,12,15.2,,20,21,,16,,,,Maris
KELLY,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Unknown,Unknown,Unknown,LOH p21.3-pter; Loss p36.32; Gain p36.33,Loss p26.2,Loss q23.3-qter,Gain q21.2-qter,F1174L,Amplified,P177T,NA,3,NA,4,NA,NA,NA,NA,5,NA,,7,1,5,8,3,6/9/2017,KLC,ATCC stock bought june 2015,6/9/2017,10/19/2018,Good,X,,14,16,,11,13,,10,14,13,14,,10,14,,12,16,,12,13,14,17,,17,20,,12,,,9,14,,9.3,,16,18,,28,30,,9,,11,13,8,10,,-,14,,,19,20,,12,15.2,,20,21,,16,,,,Maris
